State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_Price,Max_Price,Modal_Price,Grade_Category,Price_Outlier_Flag,Spread_Ratio,Spread_Anomaly_Flag,Suspected_Unit_Error,Price_Range,Modal_Price_Normalized
Tripura,Dhalai,Kulai APMC,Bhindi(Ladies Finger),Bhindi,Grade B,23/08/2026,5500.0,6000.0,5800.0,Quality Grade,False,1.0909090909090908,False,False,500.0,0.7733212437996694
Tripura,Dhalai,Kulai APMC,Sponge gourd,Other,Grade B,23/08/2026,7500.0,8000.0,7700.0,Quality Grade,False,1.0666666666666667,False,False,500.0,1.0
Tripura,Dhalai,Kulai APMC,Bitter gourd,Bitter Gourd,Grade B,23/08/2026,9600.0,10000.0,9800.0,Quality Grade,True,1.0416666666666667,False,False,400.0,0.9799992399711189
Kerala,Kozhikode(Calicut),Mukkom Market,Banana,Other,Large,23/08/2026,6300.0,6500.0,6400.0,Size Grade,False,1.0317460317460319,False,False,200.0,0.6398739558845596
Kerala,Kozhikode(Calicut),Mukkom Market,Banana - Green,Banana - Green,FAQ,23/08/2026,6300.0,6500.0,6400.0,Quality Grade,True,1.0317460317460319,False,False,200.0,0.5909090909090909
Kerala,Kozhikode(Calicut),Mukkom Market,Brinjal,Brinjal,FAQ,23/08/2026,3800.0,4200.0,4000.0,Quality Grade,False,1.105263157894737,False,False,400.0,0.4210294727578576
Kerala,Kozhikode(Calicut),Mukkom Market,Bottle gourd,Bottle Gourd,FAQ,23/08/2026,2400.0,2800.0,2600.0,Quality Grade,False,1.1666666666666667,False,False,400.0,0.48717948717948717
Kerala,Kozhikode(Calicut),Mukkom Market,Cowpea(Veg),Cowpea (Veg),FAQ,23/08/2026,7000.0,8400.0,7800.0,Quality Grade,False,1.2,False,False,1400.0,0.7159763313609467
Kerala,Kozhikode(Calicut),Mukkom Market,Tomato,Tomato,FAQ,23/08/2026,2000.0,2300.0,2200.0,Quality Grade,False,1.15,False,False,300.0,0.4489436044802925
Telangana,Hyderabad,RYTHU BAZAR FALAKNUMA,Bottle gourd,Bottle Gourd,Grade A,23/08/2026,700.0,700.0,700.0,Quality Grade,False,1.0,False,False,0.0,0.0811965811965812
Andhra Pradesh,Annamayya,Somala APMC,Tomato,Tomato,FAQ,23/08/2026,800.0,1200.0,1000.0,Quality Grade,False,1.5,False,False,400.0,0.20402965091597816
Kerala,Alappuzha,Cherthala Market,Colacasia,Other,FAQ,23/08/2026,8000.0,8200.0,8100.0,Quality Grade,False,1.025,False,False,200.0,0.8099933497672418
Kerala,Alappuzha,Cherthala Market,Cucumbar(Kheera),Cucumbar,FAQ,23/08/2026,2200.0,2400.0,2300.0,Quality Grade,False,1.0909090909090908,False,False,200.0,0.2705556248396987
Kerala,Idukki,Kattappana Market,Ashgourd,Other,Medium,23/08/2026,3000.0,3500.0,3400.0,Size Grade,False,1.1666666666666667,False,False,500.0,0.4107142857142857
Punjab,Gurdaspur,Quadian APMC,Bhindi(Ladies Finger),Other,Grade A,23/08/2026,3800.0,4000.0,3900.0,Quality Grade,False,1.0526315789473684,False,False,200.0,0.5199743986345938
Punjab,Gurdaspur,Quadian APMC,Brinjal,Other,Grade A,23/08/2026,1500.0,1700.0,1600.0,Quality Grade,False,1.1333333333333333,False,False,200.0,0.16838778814310465
Punjab,Gurdaspur,Quadian APMC,Ginger(Green),Other,Grade A,23/08/2026,7800.0,8000.0,7900.0,Quality Grade,False,1.0256410256410255,False,False,200.0,0.2464007198560288
Kerala,Kollam,Anchal Market,Banana,Nendra Bale,Local,23/08/2026,7700.0,7700.0,7700.0,Market Type,False,1.0,False,False,0.0,0.7699194718151353
